dataset,bundle_id,true_indice,true_option_char,baseline_prediction,two_stage_prediction,baseline_hit,two_stage_hit,baseline_to_two_stage,candidate_set_same,candidate_overlap_count,stage1_evidence_present,stage1_proxy_prediction,stage1_proxy_hit,stage1_to_stage2,stage1_signals_used,stage1_correct_unique_signals,stage1_wrong_unique_signals,two_stage_confidence,input_indices,baseline_candidate_indices,two_stage_candidate_indices,two_stage_reasoning,input_str,two_stage_target_str
pog_dense,244,250,C,C,C,1,1,both_success,True,10,True,B,0,fail_to_success,embedding_similarity,,embedding_similarity,medium,"[19444, 3296]","[20768, 6280, 250, 3005, 28021, 10716, 4904, 9221, 26305, 10246]","[20768, 6280, 250, 3005, 28021, 10716, 4904, 9221, 26305, 10246]","The partial outfit consists of a wool fisherman hat and a minimalist shoulder bag, which are accessories typically paired with casual, autumn/winter-appropriate clothing. Option C (a knitted sweater) is the most stylistically consistent choice for this seasonal and aesthetic combination compared to summer dresses or sandals.",1. 新款百搭渔夫帽羊毛呢面日系可折叠针织韩版盆帽子女士春秋季青年; 2. 【南风】黑色极简小方包2018新款时尚简约女包单肩包斜挎包小包包,A. 蕾丝连衣裙2019新款夏网纱裙中长款气质甜美显瘦重工刺绣仙女裙; B. 小白鞋女2019春款韩版网红洋气超火夏季百搭潮鞋透气厚底显瘦脚小; C. A7seven复古麻花大V领长袖套头毛衣女秋冬韩版学生百搭纯色针织衫; D. MONA 一字肩连衣裙女夏2018新款高腰玫红色宽松泡泡袖气质长裙子; E. 三彩2018夏装新品 连体裤条纹连衣短裤阔腿裤街拍裤子女潮宽松; F. 恰若春夏季新品真皮凉鞋牛皮包头细跟尖头女鞋子交叉绑带包跟甜美; G. 小香风泡泡袖连衣裙女春2019春装新款名媛小个子白色蝴蝶结娃娃裙; H. 原创布衣酱冬装女2018新款可爱甜美少女大毛领棉衣女短款学小棉袄; I. 雪地靴女2018新款冬季加绒保暖棉鞋防滑平底短筒后跟系带真皮短靴; J. 秋季BF风原宿港味灰黑色牛仔裤女宽松九分大码香蕉学生萝卜哈伦裤
pog_dense,273,13625,A,G,A,0,1,fail_to_success,True,10,True,F,0,fail_to_success,bi_signal|ui_signal|embedding_similarity|ui_lightgcn_similarity|bi_lightgcn_similarity,bi_signal|bi_lightgcn_similarity,ui_signal|embedding_similarity|ui_lightgcn_similarity,high,"[24421, 29727]","[13625, 20435, 7656, 26084, 29927, 3502, 29700, 3662, 3231, 23836]","[13625, 20435, 7656, 26084, 29927, 3502, 29700, 3662, 3231, 23836]","Candidate A has the highest number of bundle co-occurrences (10) and a very high bi_lightgcn_similarity (0.944), indicating a strong historical association with the items in the bundle. The style of the white shoes (casual, student-style) complements the dress and earrings provided in the partial outfit.",1. 韩都衣舍2019夏装新款女装冷淡风裙子学生气质中长款连衣裙DU8301; 2. 耳环女长款气质百搭网红2019新款潮韩国个性大气防过敏高级感耳钉,A. 勿上热风秋季学院风甜美女士系带休闲透气鞋圆头小白鞋H14W8501; B. 【清月】十木米原创2019夏新款旅行文艺清新苎麻印花连衣裙袍子; C. 夏季bf风字母短袖T恤裙子女中长款2019新款原宿风宽松连衣裙女潮; D. 英伦小皮鞋女真皮复古马丁靴平底圆头系带森女鞋百搭文艺加绒单鞋; E. 西西里男装春季港风chic外套男复古格子衬衫韩版连帽衬衣ifashion; F. 【1.24上新】2018春季新款尖头细跟高跟鞋粉色一字扣浅口侧空单鞋; G. 金属细钢跟高跟鞋 2019春秋新款名媛气质黑色细跟性感尖头单鞋女; H. 破洞烂牛仔裤女紧身小脚裤子春2019新款九分裤直筒黑色铅笔裤春秋; I. Lily2017冬新款女装时尚系带宽松大翻领毛呢外套117450F1014; J. 梅子熟了复古小清新毛呢大衣女森系呢子外套 2018冬
pog_dense,283,7279,C,C,C,1,1,both_success,True,10,True,C,1,both_success,bi_signal|ui_signal|ui_lightgcn_similarity|bi_lightgcn_similarity,bi_signal|bi_lightgcn_similarity,ui_lightgcn_similarity,high,"[4549, 15155]","[28955, 28773, 7279, 20882, 17689, 19168, 12026, 24030, 8586, 15267]","[28955, 28773, 7279, 20882, 17689, 19168, 12026, 24030, 8586, 15267]","The partial outfit consists of a men's watch and Converse 1970s sneakers, which are classic items for a casual, street-style aesthetic. Option C (NOTHOMME Japanese-style streetwear jacket) aligns perfectly with this style and has the highest BI co-occurrence (2) and the highest LightGCN similarity score (0.997), indicating a strong historical association with the existing items.",1. 邦顿手表男士机械表全自动防水潮流新概念学生钢皮带中国名牌男表; 2. Converse匡威1970s三星标黑高帮低帮男女鞋帆布鞋162050C/162058C,A. 【微瑕不退换】素木连帽毛衣女宽松韩版针织打底衫女套头上衣E972; B. 2019新款春季单鞋女浅口尖头高跟鞋女细跟韩版百搭女鞋黑色工作鞋; C. NOTHOMME日系潮牌宽松版落肩做旧连帽外套夹克男女情侣款嘻哈街舞; D. MG小象休闲牛仔棉衣女冬季新款大毛领加厚棉袄学生宽松个性外套潮; E. 蹦迪裤子女ins潮宽松秋冬嘻哈韩版帅气百搭拼接bf字母休闲运动裤; F. 赫本风大衣女羊毛绒过膝中长款2018冬新款A字复古双面毛呢外套; G. ZORE 打底裤女薄款外穿2018春秋新款高腰显瘦韩版学生百搭紧身裤; H. 破洞牛仔裤女宽松2018新款chic韩风复古高腰直筒裤子初恋裤学生潮; I. 路拉迪中跟水砖人字拖鞋 夏季女士防滑沙滩凉拖厚底坡跟时尚夹拖; J. St&amp;Sat/星期六牛皮露趾铆钉厚底小坡跟女一字带凉鞋女SS62118167
pog_dense,680,15370,I,F,I,0,1,fail_to_success,True,10,True,I,1,both_success,bi_signal|ui_signal|ui_lightgcn_similarity|bi_lightgcn_similarity,bi_signal|bi_lightgcn_similarity,ui_signal|ui_lightgcn_similarity,high,"[30641, 12293]","[11343, 26448, 3374, 19908, 18539, 5799, 17795, 27137, 15370, 383]","[11343, 26448, 3374, 19908, 18539, 5799, 17795, 27137, 15370, 383]","Candidate I has the highest BI co-occurrence (2) and a very high bi_lightgcn_similarity (0.946), indicating a strong historical association with the items in the bundle. The item (retro-style leather sneakers) also stylistically complements the French vintage beret and casual jeans.",1. AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子; 2. STUDIO MCC2018冬季新款高腰显瘦修饰腿型烟灰色直筒九分牛仔裤女,A. FRANCO SARTO春款户外休闲单鞋草编底平底羊皮系带深口小白鞋; B. 回忆森林/空谷/原创自制简约文艺复古全身刺绣长袖连衣裙长款衬衫; C. A7seven 复古百搭白色牛仔直筒裤女2019春季韩版chic休闲九分裤子; D. D秋水伊人2019夏装新款女装蕾丝荷叶边拼接裙修身印花连衣裙; E. 银时代S925银字母项链经典四叶草女款吊坠项链锁骨链子日韩风; F. DHH日系韩版文艺小清新白色帆布包女单肩包韩国学生简约搭手提袋; G. Daphne/达芙妮秋季ins时尚标语运动鞋原宿风厚底老爹鞋女; H. 阿迪达斯男鞋跑步鞋透气2018秋季新款三叶草网面小椰子休闲运动鞋; I. 欧洲站2018新款真皮运动鞋女加绒做旧ins老爹鞋复古增高小脏鞋冬; J. 粉色网纱裙蛋糕裙2019夏新款女蓬蓬裙女百褶半身裙超仙长裙纱裙春
pog_dense,698,28010,C,D,ERR_EX,0,0,both_fail,True,10,False,,,,,,,,"[29124, 21277]","[4623, 4643, 28010, 17023, 5212, 18258, 4822, 11666, 878, 16893]","[4623, 4643, 28010, 17023, 5212, 18258, 4822, 11666, 878, 16893]",,1. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包; 2. X欧美大码连衣裙2018秋冬新款刺绣花朵鱼尾裙宽松显瘦胖MM中长裙,A. 范智乔 白色休闲阔腿裤女夏高腰2018新款九分裤宽松怪味少女裤子; B. 毛毛鞋女秋冬真皮懒人包头半拖鞋女冬兔毛外穿毛毛拖鞋网红穆勒鞋; C. MAGENA原创复古风柔软小羊皮贝雷帽优雅真皮画家女帽子秋冬新品; D. 网红靴子短靴女秋2018百搭白色方头高跟粗跟瘦瘦裸靴ins短筒马丁; E. casio旗舰店AQ-S810运动防水手表运动男表卡西欧官网小黑表正品; F. BettyChow大爱！设计师款羊毛细格子中长款廓形西服外套 18年4; G. 相对纶/巴黎姑娘|优雅气质法式少女连衣裙长袖复古鱼尾裙米白女; H. 皮裤女2018秋新款韩版女裤修身显瘦松紧腰PU皮裤加绒休闲裤哈伦裤; I. 条纹高领毛衣女黄一琳2018春秋新款韩版时尚撞色chic打底针织衫潮; J. 真皮圆头平底长靴及膝靴骑士机车靴不过膝高筒靴长筒靴军靴马靴女
pog_dense,843,29124,E,D,E,0,1,fail_to_success,True,10,True,E,1,both_success,metadata_fit|bi_signal|ui_signal|embedding_similarity|ui_lightgcn_similarity|bi_lightgcn_similarity,bi_signal|ui_signal|ui_lightgcn_similarity,metadata_fit|embedding_similarity|bi_lightgcn_similarity,high,"[2067, 4524]","[18115, 15502, 858, 1013, 29124, 12215, 25316, 11288, 21742, 26060]","[18115, 15502, 858, 1013, 29124, 12215, 25316, 11288, 21742, 26060]","Candidate E has the strongest evidence, with a high BI co-occurrence (3) and significant UI overlap (27), indicating it is frequently purchased or styled with the items in the bundle. Other candidates have significantly lower or zero signals in these categories.",1. 2019新款浅蓝色复古水洗不规则腰头直筒九分牛仔裤女小脚显瘦锥形; 2. A7seven 复古撞色拼接毛衣外套女秋冬韩版百搭学生宽松针织开衫潮,A. 秋冬季新款羊毛帽子法式小众圆顶宽檐礼帽女士简约羊毛呢潮流毡帽; B. 秋冬季2018新款貂绒拼接连帽棉衣女中长款茧型棉服毛绒厚棉袄外套; C. CAO 真皮拖鞋女夏头层牛皮素面简单平跟黑白凉拖鞋罗马凉鞋女包邮; D. 稻草人女包斜挎单肩包手提包包女2019新款简约百搭小方包信封包; E. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包; F. 高腰牛仔裤九分裤女; G. 欧洲站2018冬装新款立领棉衣女中长款宽松棉服蓬松撞色保暖面包服; H. 简佰格红色新娘小包包2019新款潮时尚手提包女单肩斜挎包女包结婚; I. millie's/妙丽丝带漆牛皮方跟单鞋尖头粗高跟女鞋LL621AM7; J. 镶施华洛世奇水晶耳钉银针气质长款耳环韩国个性耳坠无耳洞耳夹女
pog_dense,1209,11784,J,H,H,0,0,both_fail,True,10,True,H,0,both_fail,metadata_fit|bi_signal|ui_lightgcn_similarity|bi_lightgcn_similarity,,ui_lightgcn_similarity|bi_lightgcn_similarity,high,"[22455, 12260]","[13856, 16712, 28592, 29131, 25606, 8598, 28671, 16684, 10623, 11784]","[13856, 16712, 28592, 29131, 25606, 8598, 28671, 16684, 10623, 11784]","The partial outfit consists of a pair of white sneakers and a white off-shoulder blouse, which is a casual, summery, and feminine style. Candidate H (denim shorts) has a positive BI co-occurrence signal (1) and a high bi_lightgcn_similarity (0.934), making it a highly compatible item to complete this summer outfit. Other candidates either have poor category matches or negative similarity scores.",1. 热风春新款小清新小白鞋女平底原宿鞋系带时尚女休闲鞋潮H14W7110; 2. MG小象雪纺衫女夏装新款白色小清新露肩上衣娃娃领气质甜美小衫潮,A. NOTHOMME日系潮牌开衫外套男款复古纯色工装夹克中国风; B. 蝴蝶结小白鞋日系平底森女单鞋2018春秋新款尖头百搭真皮小皮鞋; C. Alice W花花家连帽喇叭袖兔毛皮草2018新款毛毛外套女冬短款; D. 韩都衣舍2018韩版女秋装新款宽松撞色拼接针织衫毛衣HO9377魭0904; E. gshero黑色高腰半身裙春秋女2019新款中长款流苏ins超火的长裙子; F. 熊猫本 2019日系短袖男t恤水手卡通人物印花休闲舒适夏季男士T恤; G. 工作鞋女黑色高跟鞋细跟职业尖头百搭7cm正装5cm学生礼仪单鞋3cm; H. 韩都衣舍2019韩版女装夏装新款宽松磨破显瘦牛仔短裤NG5191茵; I. DALU 2018新款秋冬高腰短裙黑色a字裙chic半身裙女不规则复古裤裙; J. 夏天小清新平顶草帽太阳帽韩版百搭遮阳帽蝴蝶结英伦防晒小礼帽
pog_dense,1265,23371,D,D,F,1,0,success_to_fail,True,10,True,E,0,both_fail,bi_signal|embedding_similarity|ui_lightgcn_similarity|bi_lightgcn_similarity,,embedding_similarity|ui_lightgcn_similarity|bi_lightgcn_similarity,high,"[14906, 13625]","[27703, 2137, 25879, 23371, 5401, 12095, 27066, 6917, 22661, 15413]","[27703, 2137, 25879, 23371, 5401, 12095, 27066, 6917, 22661, 15413]","Candidate F has the highest BI co-occurrence count (1) and the highest bi_lightgcn_similarity (0.9265), indicating a strong statistical relationship with the existing items in the bundle compared to the other options.",1. 韩都衣舍2019夏装新款女装韩版衬衣竖条纹印花长袖衬衫JM7971蒖; 2. 勿上热风秋季学院风甜美女士系带休闲透气鞋圆头小白鞋H14W8501,A. 阿季2019新款白色蝴蝶结女包时尚百搭小方包包斜挎包韩版单肩包潮; B. 2019夏装新款短袖t恤女装半袖宽松韩版中袖学生超火cec上衣ins潮; C. 原创森女部落流行红色毛呢外套复古收腰森系呢子大衣2018新款秋冬; D. 韩都衣舍翻边浅色高腰牛仔裤MM8615煜; E. 稻草人女包水桶包包女2019新款韩版时尚手提单肩斜挎包秋冬小包包; F. 韩都衣舍2018秋装新款女装韩版宽松印花连帽套头长袖卫衣KY0678湲; G. 九月陌墨 2019春季新款女装刺绣针织开衫女 宽松休闲韩版毛衣外套; H. 大喜自制小清新连衣裙女夏2018新款法式少女复古方领雪纺碎花裙子; I. 欧州站真皮h粗跟凉拖2018夏季新款沙滩外穿网红chic显瘦凉拖鞋子; J. AK男装 秋季新款都市特工不对称胶印拉链袋拉毛布保暖运动长裤
pog_dense,1479,30641,C,A,C,0,1,fail_to_success,True,10,True,C,1,both_success,bi_signal|ui_signal|embedding_similarity,bi_signal|ui_signal,embedding_similarity,high,"[17556, 14083]","[27188, 9509, 30641, 16698, 15752, 20968, 28106, 18981, 1891, 627]","[27188, 9509, 30641, 16698, 15752, 20968, 28106, 18981, 1891, 627]","Candidate C (beret) has the strongest evidence support, with positive BI co-occurrence (3) and UI co-occurrence (1) signals, indicating it is frequently bundled with the existing items (snow boots and shoulder bag). Other candidates lack these co-occurrence signals.",1. 韩版2018冬季新款保暖加绒棉鞋厚底松糕鞋平底网红短筒雪地靴女潮; 2. 北山制包所经典豆腐包风琴方盒包单肩斜挎包复古包女2019新款女包,A. 黑色牛仔裤女2019春秋新款韩版高腰显瘦弹力百搭紧身九分小脚裤子; B. 墨下初心复古文艺V领民族风假两件连衣裙 国风宽松改良旗袍裙子; C. AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子; D. 罗家RMOJUL 2018夏装女装新 优雅喇叭袖拼色织带刺绣蕾丝连衣裙SW; E. 爬梯女鞋2018秋季新款绑带高跟弹力靴时尚拉链铆钉尖头细跟女踝靴; F. 于momo2018新款ins超火裙子小清新格子雪纺半身裙高腰显瘦a字裙夏; G. 安小落春装新款甜美清新纯色蝴蝶结飘带衬衫女收口长袖韩百搭衬衣; H. 尼班诗2018夏装新款女装纯色蝴蝶结高腰宽松短袖连衣裙女学生珃; I. 函夏 牛皮手工复古中国风小圆包女斜挎 圆形简约流苏真皮百搭女包; J. 草帽女太阳帽子巴拿马礼帽草编小清新沙滩海边百搭防晒度假遮阳夏
pog_dense,1653,29573,F,A,D,0,0,both_fail,True,10,True,E,0,both_fail,bi_signal|ui_signal|embedding_similarity,,ui_signal|embedding_similarity,medium,"[20770, 895]","[6776, 25855, 28314, 11791, 23552, 29573, 20627, 18965, 8091, 2160]","[6776, 25855, 28314, 11791, 23552, 29573, 20627, 18965, 8091, 2160]","The partial outfit consists of a sun hat and a denim jacket, suggesting a casual, outdoor, or travel-themed ensemble. Candidate D (a pair of flat mule shoes) provides a practical and stylish footwear option that complements the casual 'student/travel' aesthetic of the existing items. It also has a positive BI co-occurrence signal, indicating it is frequently paired with similar items in fashion datasets.",1. 特细出游拉菲草帽子 女士夏韩版 大檐沙滩帽防紫外线遮阳帽可折叠; 2. 原创森女部落小清新牛仔外套宽松学生韩版bf2019新款秋秋学院风系,A. 连衣裙女夏季长裙2019新款韩版气质条纹宽松显瘦流行夏天雪纺裙子; B. 美腻~钉珠之美颗颗璀璨 精美手工钉珠装饰立领长袖雪纺衬衫; C. 针织条纹t恤女2018夏新款韩版宽松学生体恤ulzzang百搭超火的上衣; D. VME/舞魅新款时尚休闲舒适尖头钉珠亮片平底女士穆勒鞋VF17A6601; E. 沙滩草帽子女夏天海边大帽檐防晒遮阳出游度假百搭大沿凉帽太阳夏; F. 少女心球原创设计爱心包斜跨珍珠链条lolita仙女丝绒可爱桃心形包; G. 自制chic羊羔毛短外套女夹棉加厚红色东大门冬季2018新款圈圈ins; H. 渔不二2018新款宽松高腰网红背带裤牛仔裤女夏学生直筒裤九分裤子; I. 三彩2017冬装新品 毛边微喇牛仔裤长裤修身喇叭裤女D746048N40; J. STELLA LUNA夏季新款圆头露趾时尚凉鞋金属扣一字扣平跟女凉鞋
